"NAME_FGENE","MODEL_LOC_ID","GOSLIM_ID","KEYWORD_CATEGORY","GOSLIM_TERM","ANNOTATED_BY","TAIR_ID"
"chrChr1_mRNA_1184_7366111","LOC_Os01g13210.2","GO:0006950","P","response to stress","IEA","TAIR:AT4G20260"
"chrChr1_mRNA_1588_10015468","LOC_Os01g17402.2","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT5G06150"
"chrChr1_mRNA_1619_10168997","LOC_Os01g18170.1","GO:0006950","P","response to stress","IEA","TAIR:AT1G09560"
"chrChr1_mRNA_2391_15400863","LOC_Os01g31610.1","GO:0009790","P","embryo development","IEA","TAIR:AT3G02660"
"chrChr1_mRNA_2972_19477590","LOC_Os01g35184.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT4G24400"
"chrChr1_mRNA_1097_6703371","LOC_Os01g12260.1","GO:0009791","P","post-embryonic development","IEA","TAIR:AT4G11150"
"chrChr1_mRNA_1097_6703371","LOC_Os01g12260.1","GO:0009790","P","embryo development","IEA","TAIR:AT4G11150"
"chrChr1_mRNA_3112_20327992","LOC_Os01g36640.1","GO:0006950","P","response to stress","IEA","TAIR:AT3G07040"
"chrChr1_mRNA_3073_20061961","LOC_Os01g36240.1","GO:0006950","P","response to stress","IEA","TAIR:AT5G66390"
"chrChr1_mRNA_1627_10219689","LOC_Os01g18240.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT1G09540"
"chrChr1_mRNA_1211_7571236","LOC_Os01g13540.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT1G64530"
"chrChr1_mRNA_1233_7722217","LOC_Os01g13770.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT5G46110"
"chrChr1_mRNA_1313_8197096","LOC_Os01g14650.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT1G69530"
"chrChr1_mRNA_1723_10934895","LOC_Os01g19330.1","GO:0006950","P","response to stress","IEA","TAIR:AT1G48000"
"chrChr1_mRNA_3287_21643059","LOC_Os01g38530.2","GO:0009605","P","response to external stimulus","IEA","TAIR:AT2G25930"
"chrChr1_mRNA_1249_7817704","LOC_Os01g13950.1","GO:0007165","P","signal transduction","IEA","TAIR:AT1G28480"
"chrChr1_mRNA_1249_7817704","LOC_Os01g13950.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT1G28480"
"chrChr1_mRNA_2351_15139459","LOC_Os01g27150.1","GO:0009791","P","post-embryonic development","IEA","TAIR:AT4G02570"
"chrChr1_mRNA_2354_15146089","LOC_Os01g27160.1","GO:0009791","P","post-embryonic development","IEA","TAIR:AT4G02570"
"chrChr1_mRNA_1766_11208573","LOC_Os01g19750.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT5G24090"
"chrChr1_mRNA_3422_22538998","LOC_Os01g39970.1","GO:0006950","P","response to stress","IEA","TAIR:AT2G24370"
"chrChr1_mRNA_2469_15934495","LOC_Os01g28450.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT2G14610"
"chrChr1_mRNA_1358_8430280","LOC_Os01g15020.1","GO:0009790","P","embryo development","IEA","TAIR:AT3G16830"
"chrChr1_mRNA_1798_11463442","LOC_Os01g20160.1","GO:0006950","P","response to stress","IEA","TAIR:AT4G10310"
"chrChr1_mRNA_5315_34682524","LOC_Os01g59990.2","GO:0007165","P","signal transduction","IEA","TAIR:AT3G53020"
"chrChr1_mRNA_5318_34694375","LOC_Os01g60020.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT1G77450"
"chrChr1_mRNA_6048_38968291","LOC_Os01g67134.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT3G25520"
"chrChr1_mRNA_6051_38984322","LOC_Os01g67160.1","GO:0009790","P","embryo development","IEA","TAIR:AT3G54180"
"chrChr1_mRNA_6127_39454725","LOC_Os01g67880.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT1G50500"
"chrChr1_mRNA_5977_38627746","LOC_Os01g66510.1","GO:0006950","P","response to stress","IEA","TAIR:AT4G02600"
"chrChr1_mRNA_5985_38676241","LOC_Os01g66590.2","GO:0009908","P","flower development","IEA","TAIR:AT1G65620"
"chrChr2_mRNA_1541_10164739","LOC_Os02g17650.1","GO:0006950","P","response to stress","IEA","TAIR:AT4G32770"
"chrChr2_mRNA_3003_20972825","LOC_Os02g34970.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT5G64530"
"chrChr2_mRNA_3003_20972825","LOC_Os02g34970.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT5G64530"
"chrChr11_mRNA_335_1859791","LOC_Os01g55300.3","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT5G44740"
"chrChr1_mRNA_4830_31865031","LOC_Os01g55350.1","GO:0006950","P","response to stress","IEA","TAIR:AT1G53310"
"chrChr1_mRNA_3899_25792699","LOC_Os01g45460.1","GO:0007267","P","cell-cell signaling","IEA","TAIR:AT5G15860"
"chrChr1_mRNA_3907_25883718","LOC_Os01g45570.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT2G01430"
"chrChr1_mRNA_4933_32424442","LOC_Os01g56290.1","GO:0009790","P","embryo development","IEA","TAIR:AT2G34780"
"chrChr1_mRNA_4937_32461878","LOC_Os01g56330.1","GO:0006950","P","response to stress","IEA","TAIR:AT3G51550"
"chrChr1_mRNA_5255_34313315","LOC_Os01g59350.1","GO:0009607","P","response to biotic stimulus","IEA","TAIR:AT5G06950"
"chrChr1_mRNA_5191_33951631","LOC_Os01g58730.1","GO:0009607","P","response to biotic stimulus","IEA","TAIR:AT3G57260"
"chrChr1_mRNA_5192_33956006","LOC_Os01g58740.2","GO:0006950","P","response to stress","IEA","TAIR:AT2G41540"
"chrChr1_mRNA_5203_34006460","LOC_Os01g58860.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT1G23080"
"chrChr1_mRNA_5206_34033159","LOC_Os01g58890.2","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT3G12490"
"chrChr1_mRNA_3771_24937696","LOC_Os01g43540.1","GO:0009607","P","response to biotic stimulus","IEA","TAIR:AT4G11260"
"chrChr1_mRNA_3771_24937696","LOC_Os01g43540.1","GO:0007165","P","signal transduction","IEA","TAIR:AT4G11260"
"chrChr1_mRNA_3771_24937696","LOC_Os01g43540.1","GO:0009791","P","post-embryonic development","IEA","TAIR:AT4G11260"
"chrChr1_mRNA_3782_25009514","LOC_Os01g43650.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT4G18170"
"chrChr1_mRNA_4052_26885484","LOC_Os01g47070.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT5G24090"
"chrChr1_mRNA_4052_26885484","LOC_Os01g47070.1","GO:0009991","P","response to extracellular stimulus","IEA","TAIR:AT5G24090"
"chrChr1_mRNA_4309_28621115","LOC_Os01g49830.1","GO:0009908","P","flower development","IEA","TAIR:AT1G13260"
"chrChr1_mRNA_4309_28621115","LOC_Os01g49830.1","GO:0009791","P","post-embryonic development","IEA","TAIR:AT1G13260"
"chrChr1_mRNA_4265_28345842","LOC_Os01g49310.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT2G16365"
"chrChr1_mRNA_4151_27560681","LOC_Os01g48130.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT4G28500"
"chrChr1_mRNA_4021_26652966","LOC_Os01g46760.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT5G59220"
"chrChr1_mRNA_4034_26735164","LOC_Os01g46870.1","GO:0009790","P","embryo development","IEA","TAIR:AT4G23750"
"chrChr1_mRNA_4034_26735164","LOC_Os01g46870.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT4G23750"
"chrChr1_mRNA_6415_41140671","LOC_Os01g71080.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT1G03230"
"chrChr1_mRNA_6416_41143416","LOC_Os01g71090.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT1G03230"
"chrChr1_mRNA_6424_41166235","LOC_Os01g71130.1","GO:0006950","P","response to stress","IEA","TAIR:AT1G03220"
"chrChr1_mRNA_4571_30257752","LOC_Os01g52640.3","GO:0007165","P","signal transduction","IEA","TAIR:AT1G53090"
"chrChr1_mRNA_4114_27301548","LOC_Os01g47730.1","GO:0007165","P","signal transduction","IEA","TAIR:AT5G60860"
"chrChr1_mRNA_4117_27327025","LOC_Os01g47760.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT1G28480"
"chrChr1_mRNA_4100_27230292","LOC_Os01g47580.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT1G15080"
"chrChr1_mRNA_4669_30796556","LOC_Os01g53630.1","GO:0009791","P","post-embryonic development","IEA","TAIR:AT1G60220"
"chrChr1_mRNA_4678_30886338","LOC_Os01g53730.1","GO:0006950","P","response to stress","IEA","TAIR:AT5G56550"
"chrChr1_mRNA_4183_27782265","LOC_Os01g48446.1","GO:0006950","P","response to stress","IEA","TAIR:AT4G27410"
"chrChr1_mRNA_4183_27782265","LOC_Os01g48446.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT4G27410"
"chrChr1_mRNA_5693_36998338","LOC_Os01g63770.1","GO:0009607","P","response to biotic stimulus","IEA","TAIR:AT2G38120"
"chrChr1_mRNA_5697_37031493","LOC_Os01g63820.1","GO:0007165","P","signal transduction","IEA","TAIR:AT5G01270"
"chrChr1_mRNA_4476_29638075","LOC_Os01g51610.1","GO:0009791","P","post-embryonic development","IEA","TAIR:AT3G26790"
"chrChr1_mRNA_4519_29931452","LOC_Os01g52050.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT4G39400"
"chrChr1_mRNA_4536_30026465","LOC_Os01g52230.1","GO:0006950","P","response to stress","IEA","TAIR:AT1G73010"
"chrChr2_mRNA_3096_21613272","LOC_Os02g35970.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT5G64330"
"chrChr1_mRNA_5032_33078968","LOC_Os01g57240.1","GO:0009908","P","flower development","IEA","TAIR:AT4G28190"
"chrChr1_mRNA_6018_38843730","LOC_Os01g66890.2","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT1G05690"
"chrChr1_mRNA_5450_35538475","LOC_Os01g61460.1","GO:0006950","P","response to stress","IEA","TAIR:AT3G55990"
"chrChr1_mRNA_6294_40409611","LOC_Os01g69920.3","GO:0009908","P","flower development","IEA","TAIR:AT1G27320"
"chrChr1_mRNA_6294_40409611","LOC_Os01g69920.3","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT1G27320"
"chrChr1_mRNA_6312_40563533","LOC_Os01g70090.1","GO:0009791","P","post-embryonic development","IEA","TAIR:AT5G43280"
"chrChr1_mRNA_6207_39845391","LOC_Os01g68598.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT4G12970"
"chrChr1_mRNA_6207_39845391","LOC_Os01g68598.1","GO:0009791","P","post-embryonic development","IEA","TAIR:AT4G12970"
"chrChr1_mRNA_6180_39726984","LOC_Os01g68370.4","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT3G24650"
"chrChr1_mRNA_6181_39730285","LOC_Os01g68380.1","GO:0009790","P","embryo development","IEA","TAIR:AT3G23980"
"chrChr1_mRNA_6237_40059404","LOC_Os01g68930.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT5G48720"
"chrChr1_mRNA_6238_40063620","LOC_Os01g68940.1","GO:0006950","P","response to stress","IEA","TAIR:AT4G26840"
"chrChr1_mRNA_3637_23934148","LOC_Os01g68940.1","GO:0006950","P","response to stress","IEA","TAIR:AT4G26840"
"chrChr1_mRNA_3637_23934148","LOC_Os01g68940.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT4G26840"
"chrChr1_mRNA_5556_36158308","LOC_Os01g62460.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT2G37650"
"chrChr1_mRNA_5597_36395486","LOC_Os01g62840.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT2G39770"
"chrChr1_mRNA_5603_36431034","LOC_Os01g62900.1","GO:0006950","P","response to stress","IEA","TAIR:AT2G39800"
"chrChr1_mRNA_5603_36431034","LOC_Os01g62900.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT2G39800"
"chrChr1_mRNA_5603_36431034","LOC_Os01g62900.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT2G39800"
"chrChr1_mRNA_6436_41220037","LOC_Os01g71240.1","GO:0009607","P","response to biotic stimulus","IEA","TAIR:AT3G57330"
"chrChr1_mRNA_6449_41349731","LOC_Os01g71350.1","GO:0006950","P","response to stress","IEA","TAIR:AT3G57260"
"chrChr1_mRNA_5643_36676478","LOC_Os01g63270.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT3G46970"
"chrChr1_mRNA_3558_23456074","LOC_Os01g41430.1","GO:0009607","P","response to biotic stimulus","IEA","TAIR:AT2G15480"
"chrChr1_mRNA_3566_23498445","LOC_Os01g41510.1","GO:0006950","P","response to stress","IEA","TAIR:AT5G24270"
"chrChr1_mRNA_3587_23642880","LOC_Os01g41770.1","GO:0006950","P","response to stress","IEA","TAIR:AT2G34930"
"chrChr1_mRNA_3587_23642880","LOC_Os01g41770.1","GO:0009607","P","response to biotic stimulus","IEA","TAIR:AT2G34930"
"chrChr1_mRNA_3683_24345172","LOC_Os01g42780.1","GO:0009607","P","response to biotic stimulus","IEA","TAIR:AT5G45890"
"chrChr1_mRNA_3683_24345172","LOC_Os01g42780.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT5G45890"
"chrChr1_mRNA_3683_24345172","LOC_Os01g42780.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT5G45890"
"chrChr1_mRNA_6464_41535615","LOC_Os01g71670.1","GO:0006950","P","response to stress","IEA","TAIR:AT4G16260"
"chrChr1_mRNA_6487_41629302","LOC_Os01g71860.1","GO:0006950","P","response to stress","IEA","TAIR:AT4G16260"
"chrChr1_mRNA_6496_41681803","LOC_Os01g71930.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT4G16260"
"chrChr1_mRNA_6511_41827156","LOC_Os01g72100.1","GO:0006950","P","response to stress","IEA","TAIR:AT1G24620"
"chrChr1_mRNA_6527_41887067","LOC_Os01g72240.1","GO:0009991","P","response to extracellular stimulus","IEA","TAIR:AT3G54470"
"chrChr1_mRNA_6582_42229585","LOC_Os01g72790.1","GO:0009607","P","response to biotic stimulus","IEA","TAIR:AT5G10270"
"chrChr10_mRNA_2549_16590291","LOC_Os01g72790.1","GO:0009607","P","response to biotic stimulus","IEA","TAIR:AT5G10270"
"chrChr10_mRNA_2549_16590291","LOC_Os01g72790.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT5G10270"
"chrChr1_mRNA_5927_38324006","LOC_Os01g66030.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT5G20240"
"chrChr1_mRNA_5039_33152527","LOC_Os01g57350.1","GO:0007165","P","signal transduction","IEA","TAIR:AT4G21534"
"chrChr1_mRNA_3598_23760347","LOC_Os01g41900.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT3G16350"
"chrChr1_mRNA_3685_24360437","LOC_Os01g42800.1","GO:0009790","P","embryo development","IEA","TAIR:AT2G34090"
"chrChr1_mRNA_3693_24392896","LOC_Os01g42860.1","GO:0006950","P","response to stress","IEA","TAIR:AT5G43580"
"chrChr1_mRNA_4754_31367057","LOC_Os01g54540.1","GO:0009790","P","embryo development","IEA","TAIR:AT1G78630"
"chrChr1_mRNA_4755_31370413","LOC_Os01g54550.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT4G18880"
"chrChr1_mRNA_5728_37235781","LOC_Os01g64100.1","GO:0009991","P","response to extracellular stimulus","IEA","TAIR:AT5G24090"
"chrChr1_mRNA_5745_37320517","LOC_Os01g64280.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT5G06140"
"chrChr1_mRNA_5770_37457525","LOC_Os01g64560.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT2G27230"
"chrChr1_mRNA_4854_32003690","LOC_Os01g55540.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT5G11520"
"chrChr1_mRNA_5812_37710241","LOC_Os01g64970.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT1G10940"
"chrChr1_mRNA_5812_37710241","LOC_Os01g64970.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT1G10940"
"chrChr1_mRNA_5380_35145517","LOC_Os01g60770.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT1G69530"
"chrChr1_mRNA_5380_35145517","LOC_Os01g60770.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT1G69530"
"chrChr2_mRNA_115_640452","LOC_Os02g02140.1","GO:0009791","P","post-embryonic development","IEA","TAIR:AT4G28650"
"chrChr2_mRNA_124_697321","LOC_Os02g02210.1","GO:0009605","P","response to external stimulus","IEA","TAIR:AT3G22200"
"chrChr1_mRNA_6654_42614814","LOC_Os01g73550.1","GO:0006950","P","response to stress","IEA","TAIR:AT1G51980"
"chrChr2_mRNA_3237_22599446","LOC_Os02g37420.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT4G17170"
"chrChr2_mRNA_209_1207654","LOC_Os02g03060.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT3G48750"
"chrChr2_mRNA_209_1207654","LOC_Os02g03060.1","GO:0009790","P","embryo development","IEA","TAIR:AT3G48750"
"chrChr2_mRNA_135_785676","LOC_Os02g02350.1","GO:0006950","P","response to stress","IEA","TAIR:AT3G61350"
"chrChr2_mRNA_135_785676","LOC_Os02g02350.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT3G61350"
"chrChr2_mRNA_141_827640","LOC_Os02g02400.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT1G20630"
"chrChr2_mRNA_142_842638","LOC_Os02g02410.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT5G42020"
"chrChr2_mRNA_657_3850127","LOC_Os02g07450.2","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT1G56170"
"chrChr2_mRNA_182_1061877","LOC_Os02g02790.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT4G35790"
"chrChr2_mRNA_189_1095969","LOC_Os02g02860.1","GO:0009908","P","flower development","IEA","TAIR:AT5G64050"
"chrChr2_mRNA_492_2941648","LOC_Os02g05920.1","GO:0007165","P","signal transduction","IEA","TAIR:AT5G53890"
"chrChr2_mRNA_495_2955766","LOC_Os02g05940.1","GO:0007165","P","signal transduction","IEA","TAIR:AT1G72300"
"chrChr2_mRNA_498_2968614","LOC_Os02g05960.1","GO:0007165","P","signal transduction","IEA","TAIR:AT1G72300"
"chrChr2_mRNA_619_3619840","LOC_Os02g07060.1","GO:0006950","P","response to stress","IEA","TAIR:AT5G23860"
"chrChr2_mRNA_630_3684126","LOC_Os02g07170.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT2G38300"
"chrChr2_mRNA_636_3715361","LOC_Os02g07230.1","GO:0006950","P","response to stress","IEA","TAIR:AT5G08280"
"chrChr2_mRNA_643_3755492","LOC_Os02g07310.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT1G48410"
"chrChr2_mRNA_692_4073890","LOC_Os02g07780.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT5G43270"
"chrChr4_mRNA_2008_13311208","LOC_Os02g07840.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT5G24800"
"chrChr2_mRNA_702_4120173","LOC_Os02g07870.1","GO:0006950","P","response to stress","IEA","TAIR:AT1G78900"
"chrChr2_mRNA_564_3291235","LOC_Os02g06580.1","GO:0009791","P","post-embryonic development","IEA","TAIR:AT5G54650"
"chrChr2_mRNA_442_2620424","LOC_Os02g05450.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT4G29940"
"chrChr2_mRNA_544_3187008","LOC_Os02g06370.1","GO:0006950","P","response to stress","IEA","TAIR:AT1G71260"
"chrChr2_mRNA_947_5736608","LOC_Os02g10800.1","GO:0009790","P","embryo development","IEA","TAIR:AT4G32400"
"chrChr1_mRNA_6720_42949418","LOC_Os01g74146.1","GO:0007165","P","signal transduction","IEA","TAIR:AT5G13840"
"chrChr2_mRNA_814_4867673","LOC_Os02g09480.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT2G23290"
"chrChr2_mRNA_830_4952351","LOC_Os02g09630.1","GO:0009607","P","response to biotic stimulus","IEA","TAIR:AT3G25070"
"chrChr2_mRNA_2666_18446003","LOC_Os02g30900.1","GO:0009607","P","response to biotic stimulus","IEA","TAIR:AT5G13160"
"chrChr2_mRNA_911_5475134","LOC_Os02g10400.1","GO:0009628","P","response to abiotic stimulus","IEA","TAIR:AT1G11755"
"chrChr2_mRNA_863_5167991","LOC_Os02g09940.1","GO:0009607","P","response to biotic stimulus","IEA","TAIR:AT3G52960"
"chrChr2_mRNA_881_5282626","LOC_Os02g10120.1","GO:0009719","P","response to endogenous stimulus","IEA","TAIR:AT3G45140"
"chrChr1_mRNA_6600_42348672","LOC_Os01g72990.2","GO:0007165","P","signal transduction","IEA","TAIR:AT1G06840"
"chrChr5_mRNA_149_801229","LOC_Os01g74410.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT3G46130"
"chrChr2_mRNA_1052_6488457","LOC_Os02g12440.1","GO:0007165","P","signal transduction","IEA","TAIR:AT3G47570"
"chrChr2_mRNA_3068_21435187","LOC_Os02g35650.1","GO:0006950","P","response to stress","IEA","TAIR:AT4G02380"
"chrChr2_mRNA_3069_21440662","LOC_Os02g35660.1","GO:0003700","F","sequence-specific DNA binding transcription factor","IEA","TAIR:AT5G58010"
"chrChr2_mRNA_3069_21440662","LOC_Os02g35660.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT5G58010"
"chrChr2_mRNA_157_929928","LOC_Os02g02560.1","GO:0007275","P","multicellular organismal development","IEA","TAIR:AT5G17310"
